"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"28","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","146","The method 'getExecutable()' has a NCSS line count of 2.","Design","NcssCount"
"29","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","146","The method 'getExecutable()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"30","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","146","The method 'getExecutable()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"31","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","158","The method 'isFile()' has a NCSS line count of 2.","Design","NcssCount"
"32","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","158","The method 'isFile()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"33","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","158","The method 'isFile()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"34","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","168","The method 'addArguments(String[])' has a NCSS line count of 2.","Design","NcssCount"
"35","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","168","The method 'addArguments(String[])' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"36","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","168","The method 'addArguments(String[])' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"37","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","168","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"38","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","179","The method 'addArguments(String[], boolean)' has a NCSS line count of 5.","Design","NcssCount"
"39","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","179","The method 'addArguments(String[], boolean)' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
