"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"26","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","165","The method 'setExactMatch(boolean)' has a NCSS line count of 2.","Design","NcssCount"
"27","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","165","The method 'setExactMatch(boolean)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"28","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","165","The method 'setExactMatch(boolean)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"29","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","165","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"30","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","174","The method 'begin(String, String, Attributes)' has a NCSS line count of 3.","Design","NcssCount"
"31","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","174","The method 'begin(String, String, Attributes)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"32","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","174","The method 'begin(String, String, Attributes)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"33","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","174","The method 'begin(String, String, Attributes)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"34","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","174","Avoid long parameter lists (3 parameters - threshold is 1).","Design","ExcessiveParameterList"
"35","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","187","The method 'end(String, String)' has a NCSS line count of 3.","Design","NcssCount"
"36","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","187","The method 'end(String, String)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"37","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","187","The method 'end(String, String)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"38","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","187","The method 'end(String, String)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"39","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","187","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"40","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","201","The method 'invoke()' has a NCSS line count of 17.","Design","NcssCount"
"41","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","201","The method 'invoke()' has a cognitive complexity of 8, current threshold is 1","Design","CognitiveComplexity"
"42","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","201","The method 'invoke()' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"43","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","201","The method 'invoke()' has an NPath complexity of 12, current threshold is 1","Design","NPathComplexity"
"44","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","254","The method 'getChild()' has a NCSS line count of 1.","Design","NcssCount"
"45","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","254","The method 'getChild()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
